No Time to Die,2021,7.6,107163,Action; Adventure; Thriller,,,,,,,,,
The Guilty,2021,6.3,64375,Crime; Drama; Thriller,,,,,,,,,
The Many Saints of Newark,2021,6.4,27145,Crime; Drama,,,,,,,,,
Venom: Let There Be Carnage,2021,6.4,30443,Action; Adventure; Sci-Fi,,,,,,,,,
Dune,2021,8.3,84636,Action; Adventure; Drama,,,,,,,,,
Ted Lasso,2021,8.8,117562,Comedy; Drama; Sport,,,,,,,,,
Free Guy,2021,7.3,153835,Action; Adventure; Comedy,,,,,,,,,
House of the Dragon,2021,No Rate,No Votes,Action; Adventure; Drama,,,,,,,,,
What If...?,2021,7.6,51959,Animation; Action; Adventure,,,,,,,,,
Sex Education,2021,8.3,220201,Comedy; Drama,,,,,,,,,
The Walking Dead,2021,8.2,906327,Drama; Horror; Thriller,,,,,,,,,
The Chestnut Man,2021,7.9,15434,Crime; Drama; Mystery,,,,,,,,,
Foundation,2021,7.4,16675,Drama; Sci-Fi,,,,,,,,,
The Sopranos,2021,9.2,340006,Crime; Drama,,,,,,,,,
Only Murders in the Building,2021,8.3,22988,Comedy; Crime; Drama,,,,,,,,,
American Horror Story,2021,8,296306,Drama; Horror; Thriller,,,,,,,,,
Seinfeld,2021,8.8,272028,Comedy,,,,,,,,,
Grey's Anatomy,2021,7.5,275094,Drama; Romance,,,,,,,,,
Game of Thrones,2021,9.2,1885776,Action; Adventure; Drama,,,,,,,,,
Black Widow,2021,6.8,246603,Action; Adventure; Sci-Fi,,,,,,,,,
The Last Duel,2021,7.7,6498,Action; Drama; History,,,,,,,,,
Alice in Borderland,2021,7.7,33151,Action; Fantasy; Mystery,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,2021,7.9,109552,Action; Adventure; Fantasy,,,,,,,,,
Billions,2021,8.4,80562,Drama,,,,,,,,,
Resident Evil: Welcome to Raccoon City,2021,No Rate,No Votes,Action; Horror; Mystery,,,,,,,,,
Spectre,2015,6.8,407514,Action; Adventure; Thriller,,,,,,,,,
Casino Royale,2006,8,613873,Action; Adventure; Thriller,,,,,,,,,
Lucifer,2006,8.1,288801,Crime; Drama; Fantasy,,,,,,,,,
The Morning Show,2006,8.4,73736,Drama,,,,,,,,,
Halloween Kills,2021,6.1,20383,Horror; Thriller,,,,,,,,,
There's Someone Inside Your House,2021,4.8,7724,Horror; Mystery; Thriller,,,,,,,,,
Malignant,2021,6.3,53310,Crime; Horror; Mystery,,,,,,,,,
Wolf,2021,4.1,229,Drama; Mystery; Thriller,,,,,,,,,
La casa de papel,2021,8.2,393487,Action; Crime; Drama,,,,,,,,,
"Tick Tick... Boom!",2021,No Rate,No Votes,Biography; Drama; Musical,,,,,,,,,
The Night House,2020,6.5,14936,Horror; Mystery; Thriller,,,,,,,,,
Succession,2020,8.7,66106,Drama,,,,,,,,,
La Brea,2020,5.2,3198,Drama; Mystery; Sci-Fi,,,,,,,,,
Venom,2018,6.7,414787,Action; Adventure; Sci-Fi,,,,,,,,,
Skyfall,2012,7.8,658977,Action; Adventure; Thriller,,,,,,,,,
NCIS: Naval Criminal Investigative Service,2012,7.7,130626,Action; Crime; Drama,,,,,,,,,
See,2012,7.6,59581,Action; Drama; Sci-Fi,,,,,,,,,
The Addams Family 2,2021,5.3,3798,Animation; Adventure; Comedy,,,,,,,,,
Big Sky,2021,6.8,11483,Crime; Drama; Mystery,,,,,,,,,
Peaky Blinders,2021,8.8,416006,Crime; Drama,,,,,,,,,
What We Do in the Shadows,2021,8.5,50078,Comedy; Fantasy; Horror,,,,,,,,,
Titane,2021,7.2,6076,Drama; Horror; Sci-Fi,,,,,,,,,
American Crime Story,2021,8.4,87503,Biography; Crime; Drama,,,,,,,,,
CSI: Vegas,2021,7.8,1313,Crime,,,,,,,,,
Stranger Things,2021,8.7,918729,Drama; Fantasy; Horror,,,,,,,,,
Titans,2021,7.6,82808,Action; Adventure; Crime,,,,,,,,,
Goliath,2021,8.2,40575,Drama,,,,,,,,,
Breaking Bad,2021,9.4,1593305,Crime; Drama; Thriller,,,,,,,,,
On My Block,2021,8,13772,Comedy; Drama,,,,,,,,,
Old,2021,5.8,52713,Drama; Horror; Mystery,,,,,,,,,
Y: The Last Man,2021,6.3,7780,Action; Adventure; Drama,,,,,,,,,
The Rookie,2021,8,27281,Comedy; Crime; Drama,,,,,,,,,
No One Gets Out Alive,2021,5.3,7573,Drama; Horror; Mystery,,,,,,,,,
Law & Order: Special Victims Unit,2021,8,92115,Crime; Drama; Mystery,,,,,,,,,
Hocus Pocus,1993,6.9,110741,Comedy; Family; Fantasy,,,,,,,,,
The Office,1993,8.9,475207,Comedy,,,,,,,,,
Chicago Fire,1993,8,46774,Action; Drama,,,,,,,,,
Dune,1984,6.4,142157,Action; Adventure; Sci-Fi,,,,,,,,,
You,1984,7.7,173763,Crime; Drama; Romance,,,,,,,,,
Den skyldige,2018,7.5,52965,Crime; Drama; Thriller,,,,,,,,,
Quantum of Solace,2008,6.6,424649,Action; Adventure; Thriller,,,,,,,,,
Doom Patrol,2008,7.9,43676,Action; Adventure; Comedy,,,,,,,,,
Yellowstone,2008,8.6,48060,Drama; Western,,,,,,,,,
The Suicide Squad,2021,7.3,224344,Action; Adventure; Comedy,,,,,,,,,
Friends,2021,8.8,903947,Comedy; Romance,,,,,,,,,
Eternals,2021,No Rate,No Votes,Action; Adventure; Drama,,,,,,,,,
Brooklyn Nine-Nine,2021,8.4,267096,Comedy; Crime,,,,,,,,,
Cruella,2021,7.4,174071,Adventure; Comedy; Crime,,,,,,,,,
The Blacklist,2021,8,219628,Crime; Drama; Mystery,,,,,,,,,
Supernatural,2021,8.4,411255,Drama; Fantasy; Horror,,,,,,,,,
Downton Abbey,2021,8.7,180688,Drama; Romance,,,,,,,,,
Animal Kingdom,2021,8.2,30515,Crime; Drama,,,,,,,,,
Criminal Minds,2021,8.1,177854,Crime; Drama; Mystery,,,,,,,,,
Halloween,1978,7.7,248788,Horror; Thriller,,,,,,,,,
Vigil,1978,7.3,10126,Crime; Drama; Mystery,,,,,,,,,
Infinite,2021,5.5,32451,Action; Sci-Fi; Thriller,,,,,,,,,
V/H/S/94,2021,5.5,3196,Horror; Mystery; Thriller,,,,,,,,,
The Good Doctor,2021,8.1,78703,Drama,,,,,,,,,
Dexter,2021,8.6,678377,Crime; Drama; Mystery,,,,,,,,,
The Green Knight,2021,6.6,53565,Adventure; Drama; Fantasy,,,,,,,,,
Last Man Down,2021,No Rate,No Votes,Action,,,,,,,,,
The French Dispatch,2021,7.4,1370,Comedy; Drama; Romance,,,,,,,,,
The Boys,2021,8.7,316047,Action; Crime; Drama,,,,,,,,,
Ridley Road,2021,6.6,704,Thriller,,,,,,,,,
Vikings,2021,8.5,472761,Action; Adventure; Drama,,,,,,,,,
Spider-Man: No Way Home,2021,No Rate,No Votes,Action; Adventure; Sci-Fi,,,,,,,,,
Silent Witness,2021,7.8,7917,Crime; Drama; Mystery,,,,,,,,,
Ghosts,2021,7,1343,Comedy; Fantasy,,,,,,,,,
The Card Counter,2021,6.2,9236,Crime; Drama; Thriller,,,,,,,,,
Lamb,2021,6.7,2251,Drama; Horror; Mystery,,,,,,,,,
Midsomer Murders,2021,7.8,28198,Crime; Drama; Mystery,,,,,,,,,
Rick and Morty,2021,9.2,436882,Animation; Adventure; Comedy,,,,,,,,,
After We Fell,2021,5,2719,Drama,,,,,,,,,
Riverdale,2021,6.7,130524,Crime; Drama; Mystery,,,,,,,,,
The Harder They Fall,2021,5.2,315,Drama; Western,,,,,,,,,
Licorice Pizza,2021,No Rate,No Votes,Comedy; Drama,,,,,,,,,
Chicago Med,2021,7.6,20080,Drama,,,,,,,,,
The Lost Symbol,2021,6.7,2851,Action; Adventure; Drama,,,,,,,,,
Star Wars: Visions,2021,7.2,9175,Animation; Action; Adventure,,,,,,,,,
Promising Young Woman,2020,7.5,132936,Crime; Drama; Thriller,,,,,,,,,
Modern Family,2020,8.4,388093,Comedy; Drama; Romance,,,,,,,,,
The Mandalorian,2020,8.8,359850,Action; Adventure; Sci-Fi,,,,,,,,,
Queenpins,2021,6.2,3525,Comedy; Crime,,,,,,,,,
The Big Bang Theory,2021,8.1,753761,Comedy; Romance,,,,,,,,,
The Wire,2021,9.3,306334,Crime; Drama; Thriller,,,,,,,,,
Doctor Who,2021,8.6,207605,Adventure; Drama; Family,,,,,,,,,
Candyman,2021,6,35936,Horror; Thriller,,,,,,,,,
The White Lotus,2021,7.7,37058,Comedy; Drama,,,,,,,,,
The Witcher,2021,8.2,353732,Action; Adventure; Fantasy,,,,,,,,,
The Starling,2021,6.3,6994,Comedy; Drama,,,,,,,,,
Kate,2021,6.3,41301,Action; Adventure; Crime,,,,,,,,,
The Sandman,2021,No Rate,No Votes,Action; Adventure; Drama,,,,,,,,,
Knives Out,2019,7.9,537031,Comedy; Crime; Drama,,,,,,,,,
New Amsterdam,2019,8.1,30554,Drama,,,,,,,,,
Cry Macho,2021,5.8,13148,Drama; Thriller; Western,,,,,,,,,
Castle,2021,8.1,146732,Comedy; Crime; Drama,,,,,,,,,
Black Mirror,2021,8.8,482062,Drama; Sci-Fi; Thriller,,,,,,,,,
Law & Order: Organized Crime,2021,7.6,4267,Crime; Drama; Mystery,,,,,,,,,
Till Death,2021,5.8,12586,Horror; Thriller,,,,,,,,,
The Voyeurs,2021,5.9,10281,Drama; Mystery; Thriller,,,,,,,,,
The Crown,2021,8.6,176135,Biography; Drama; History,,,,,,,,,
Better Call Saul,2021,8.8,359684,Crime; Drama,,,,,,,,,
The Handmaid's Tale,2021,8.4,204512,Drama; Sci-Fi; Thriller,,,,,,,,,
Lost,2021,8.3,520422,Adventure; Drama; Fantasy,,,,,,,,,
Outlander,2021,8.4,138887,Drama; Fantasy; Romance,,,,,,,,,
The Simpsons,2021,8.6,381626,Animation; Comedy,,,,,,,,,
Dear Evan Hansen,2021,6,5468,Drama; Musical,,,,,,,,,
CSI: Crime Scene Investigation,2021,7.6,80011,Crime; Drama; Mystery,,,,,,,,,
Loki,2021,8.3,208457,Action; Adventure; Fantasy,,,,,,,,,
It's Always Sunny in Philadelphia,2021,8.8,201983,Comedy,,,,,,,,,
Hypnotic,2021,No Rate,No Votes,Drama; Horror; Thriller,,,,,,,,,
Superstore,2021,7.8,39602,Comedy,,,,,,,,,
The Resident,2021,7.7,22186,Drama,,,,,,,,,
Gisaengchung,2019,8.6,669620,Comedy; Drama; Thriller,,,,,,,,,
Mr. Robot,2019,8.5,354297,Crime; Drama; Thriller,,,,,,,,,
Last Night in Soho,2021,7.4,1122,Drama; Horror; Mystery,,,,,,,,,
Titanic,1997,7.8,1096676,Drama; Romance,,,,,,,,,
Shiddat,2021,8,8066,Romance,,,,,,,,,
Scream,2022,No Rate,No Votes,Horror; Mystery; Thriller,,,,,,,,,
Ozark,2022,8.4,214799,Crime; Drama; Thriller,,,,,,,,,
